City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Buala,SB,86.16,light rain,-8.14,159.59,Maringe Lagoon Lodge
9,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
13,Hilo,US,84.2,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
32,Carnarvon,AU,82.4,clear sky,-24.87,113.63,Hospitality Carnarvon
40,La Asuncion,VE,89.6,overcast clouds,11.03,-63.86,Colinas de Matasiete
48,Airai,TL,81.1,overcast clouds,-8.93,125.41,Juvinal Martin
51,Lorengau,PG,85.55,light rain,-2.02,147.27,Lorengau Harbourside Hotel
68,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
93,Bengkulu,ID,82.54,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
98,Bitung,ID,87.8,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
103,Georgetown,MY,80.6,light rain,5.41,100.34,Cititel Penang
106,Butaritari,KI,81.54,overcast clouds,3.07,172.79,Isles Sunset Lodge
114,Balabac,PH,84.06,overcast clouds,7.99,117.06,Sing and Swing Lodge
115,Luwuk,ID,85.14,light rain,-0.95,122.79,Hotel Santika Luwuk
119,Bowen,AU,84.2,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
122,Tawau,MY,84.2,few clouds,4.25,117.89,Shervinton Executive Boutique Hotel
133,Dingle,PH,83.28,moderate rain,11.0,122.67,SEGAYA PROPERTY
143,Kapaa,US,80.6,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
147,Dingras,PH,84.2,scattered clouds,18.1,120.7,Madongan River Resort
151,Itarema,BR,80.53,broken clouds,-2.92,-39.92,Windvillage
153,Ballina,AU,80.01,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
164,Daru,PG,82.29,moderate rain,-9.08,143.21,New century hotel
169,Kimbe,PG,81.7,moderate rain,-5.55,150.14,Kimbe Bay Hotel
214,Bontang,ID,84.38,broken clouds,0.13,117.5,Okra Leaf Guest House Syariah
215,Dhidhdhoo,MV,81.64,clear sky,6.88,73.1,Dhidhoo beach
217,Puerto Madero,MX,80.6,scattered clouds,14.72,-92.42,Hotel La Central
224,Cayenne,GF,80.6,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
231,Acapulco,MX,82.4,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
232,Kavaratti,IN,82.26,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
233,Lahaina,US,89.6,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
244,Byron Bay,AU,80.01,clear sky,-28.65,153.62,Backpackers Inn on the Beach
256,Charlestown,AU,82.0,clear sky,-32.95,151.67,Panorama Motor Inn Hotel
272,Kavieng,PG,86.13,light rain,-2.57,150.8,Nusa Island Retreat
292,Ndioum,SN,85.82,clear sky,16.51,-14.65,l'hôtel samassa
294,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
304,Miri,MY,84.2,few clouds,4.41,114.01,"Mega Hotel, Miri"
311,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
337,Catuday,PH,81.61,overcast clouds,16.29,119.81,GResort
359,Acarau,BR,80.19,scattered clouds,-2.89,-40.12,castelo pizzaria
365,Road Town,VG,81.0,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
379,Cabimas,VE,81.28,broken clouds,10.39,-71.44,Hotel D'Maio
380,Monywa,MM,80.31,clear sky,22.12,95.13,Monywa Hotel
389,Wichian Buri,TH,82.99,clear sky,15.66,101.11,Mit Sali Hotel
402,Kampot,KH,84.2,few clouds,10.62,104.18,Champa Lodge
403,Cockburn Town,TC,81.84,overcast clouds,21.46,-71.14,Osprey Beach Hotel
