City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.78,147.06,69.8,52,75,18.34,broken clouds
1,Avarua,CK,-21.21,-159.78,75.2,83,100,9.17,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,51.8,57,40,13.87,scattered clouds
3,Mataura,NZ,-46.19,168.86,77.0,41,4,6.53,clear sky
4,Tuktoyaktuk,CA,69.45,-133.04,12.2,85,90,9.17,light snow
5,Dovolnoye,RU,54.5,79.67,29.07,93,100,10.04,overcast clouds
6,Palmer,US,42.16,-72.33,28.99,79,20,0.89,few clouds
7,East London,ZA,-33.02,27.91,67.44,88,37,3.06,scattered clouds
8,Buala,SB,-8.14,159.59,86.16,66,78,6.93,light rain
9,Vaini,TO,-21.2,-175.2,80.6,78,40,13.87,scattered clouds
10,Kodiak,US,57.79,-152.41,30.2,33,1,19.46,clear sky
11,Mar Del Plata,AR,-38.0,-57.56,60.01,87,0,10.29,clear sky
12,Kaitangata,NZ,-46.28,169.85,63.0,75,0,8.01,clear sky
13,Hilo,US,19.73,-155.09,84.2,66,40,9.17,scattered clouds
14,Busselton,AU,-33.65,115.33,64.99,62,37,7.0,scattered clouds
15,Pisco,PE,-13.7,-76.22,64.4,82,0,11.41,clear sky
16,Bulgan,MN,48.81,103.53,28.09,81,78,1.74,broken clouds
17,Husavik,IS,66.04,-17.34,41.0,60,0,20.8,light rain
18,Malkangiri,IN,18.35,81.9,73.94,80,0,2.01,clear sky
19,Nishihara,JP,26.18,127.76,75.2,38,75,18.34,broken clouds
20,Hobart,AU,-42.88,147.33,69.8,52,75,18.34,broken clouds
21,Bela,IN,25.93,81.98,66.74,37,0,4.85,clear sky
22,Rikitea,PF,-23.12,-134.97,72.63,80,34,17.81,scattered clouds
23,Dillon,US,34.42,-79.37,50.0,93,1,2.42,clear sky
24,Iquitos,PE,-3.75,-73.25,78.8,88,0,2.24,clear sky
25,Arraial Do Cabo,BR,-22.97,-42.03,68.52,81,100,18.72,overcast clouds
26,Castro,BR,-24.79,-50.01,53.8,93,45,5.12,scattered clouds
27,Tucupita,VE,9.06,-62.05,73.44,97,100,3.78,light rain
28,Huinan,CN,42.62,126.26,33.71,62,0,12.77,clear sky
29,Quelimane,MZ,-17.88,36.89,77.0,94,40,6.93,scattered clouds
30,Cape Town,ZA,-33.93,18.42,68.0,68,0,9.17,clear sky
31,Biltine,TD,14.53,20.92,78.06,23,0,20.31,clear sky
32,Carnarvon,AU,-24.87,113.63,82.4,32,0,17.22,clear sky
33,Saint George,US,37.1,-113.58,77.0,20,1,5.82,clear sky
34,Hermanus,ZA,-34.42,19.23,64.0,93,100,1.01,overcast clouds
35,Sercaia,RO,45.83,25.13,45.0,85,98,1.23,overcast clouds
36,Saldanha,ZA,-33.01,17.94,60.6,94,42,5.55,scattered clouds
37,Bembereke,BJ,10.23,2.66,75.42,43,100,3.22,overcast clouds
38,Heihe,CN,50.24,127.49,21.2,44,0,6.71,clear sky
39,Alice Springs,AU,-23.7,133.88,96.8,6,0,11.41,clear sky
40,La Asuncion,VE,11.03,-63.86,89.6,62,100,14.99,overcast clouds
41,Port Lincoln,AU,-34.73,135.87,58.95,65,100,18.28,overcast clouds
42,Albany,US,42.6,-73.97,30.99,81,0,1.86,clear sky
43,Kamaishi,JP,39.27,141.88,44.6,81,75,8.05,broken clouds
44,Chuy,UY,-33.7,-53.46,55.27,84,0,7.7,clear sky
45,Fukue,JP,32.69,128.84,57.2,58,40,18.34,scattered clouds
46,Helong,CN,42.54,129.0,33.04,62,0,10.42,clear sky
47,Victoria,HK,22.29,114.16,73.99,64,53,8.99,broken clouds
