City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2020-11-02 02:04:54,77.48,-69.36,2.79,74,0,6.31
1,Lebu,CL,2020-11-02 02:04:54,-37.62,-73.65,52.77,95,74,8.37
2,Torbay,CA,2020-11-02 02:04:22,47.67,-52.73,37.99,74,20,12.75
3,Yar-Sale,RU,2020-11-02 02:04:55,66.83,70.83,25.54,97,79,15.08
4,Amuntai,ID,2020-11-02 02:04:55,-2.42,115.25,76.93,92,100,1.28
5,Bairiki,KI,2020-11-02 02:04:55,1.33,172.98,87.8,66,40,14.99
6,Rikitea,PF,2020-11-02 02:04:55,-23.12,-134.97,73.92,86,95,24.0
7,Burns Lake,CA,2020-11-02 02:04:56,54.23,-125.75,51.8,71,100,5.82
8,Chumikan,RU,2020-11-02 02:04:56,54.72,135.31,19.49,96,100,8.97
9,Mayumba,GA,2020-11-02 02:04:56,-3.43,10.66,76.87,89,100,3.18
10,Bethlehem,BR,2020-11-02 02:03:40,-1.46,-48.5,78.8,88,0,6.93
11,Jalu,LY,2020-11-02 02:04:56,29.03,21.55,61.41,66,1,4.09
12,Kulhudhuffushi,MV,2020-11-02 02:04:57,6.62,73.07,82.76,67,17,5.59
13,Resplendor,BR,2020-11-02 02:04:57,-19.33,-41.26,67.44,88,100,2.62
14,Rio Grande,BR,2020-11-02 02:04:57,-32.03,-52.1,52.0,96,0,4.34
15,Ancud,CL,2020-11-02 02:03:04,-41.87,-73.82,50.0,87,0,2.24
16,Mataura,NZ,2020-11-02 02:04:57,-46.19,168.86,57.0,61,75,10.0
17,Sola,VU,2020-11-02 02:01:22,-13.88,167.55,81.09,83,41,17.52
18,Berlevag,NO,2020-11-02 02:02:13,70.86,29.09,43.41,84,100,34.05
19,Hobart,AU,2020-11-02 02:02:25,-42.88,147.33,77.0,46,0,6.93
20,Lompoc,US,2020-11-02 02:04:58,34.64,-120.46,68.0,68,1,4.7
21,Cidreira,BR,2020-11-02 02:04:58,-30.18,-50.21,61.63,65,3,6.08
22,Adre,TD,2020-11-02 02:04:58,13.47,22.2,77.72,28,99,17.47
23,Ushuaia,AR,2020-11-02 02:04:39,-54.8,-68.3,57.2,54,75,3.36
24,Kapaa,US,2020-11-02 02:04:59,22.08,-159.32,80.6,78,75,11.41
25,Busselton,AU,2020-11-02 02:04:59,-33.65,115.33,61.0,85,98,1.01
26,Provideniya,RU,2020-11-02 02:04:36,64.38,-173.3,26.6,63,0,6.71
27,Hermanus,ZA,2020-11-02 02:01:43,-34.42,19.23,64.0,82,89,5.99
28,Valparaiso,CL,2020-11-02 02:02:01,-33.04,-71.63,53.6,81,90,5.82
29,Bengkulu,ID,2020-11-02 02:04:40,-3.8,102.27,79.47,81,100,1.07
30,Mount Isa,AU,2020-11-02 02:05:00,-20.73,139.5,95.0,10,0,10.29
31,Ilulissat,GL,2020-11-02 02:05:00,69.22,-51.1,19.4,67,100,6.93
32,Saint-Philippe,RE,2020-11-02 02:05:00,-21.36,55.77,69.8,56,90,8.05
33,Thompson,CA,2020-11-02 02:03:06,55.74,-97.86,21.2,100,75,3.36
34,Buala,SB,2020-11-02 02:05:01,-8.14,159.59,87.46,64,42,2.98
35,Mocuba,MZ,2020-11-02 02:05:01,-16.84,36.99,68.43,94,27,0.72
36,Punta Arenas,CL,2020-11-02 02:05:01,-53.15,-70.92,51.8,76,0,3.36
37,Quinto Di Treviso,IT,2020-11-02 02:05:01,45.65,12.17,52.0,100,56,1.12
38,Ambilobe,MG,2020-11-02 02:05:02,-13.2,49.05,71.67,66,90,6.64
39,Dosso,NE,2020-11-02 02:05:02,13.05,3.19,76.91,19,0,7.96
